,movie,year,imdb,metascore,votes
0,The Dark Knight Rises,(2012),8.4,78,1502088
1,Django Unchained,(2012),8.4,81,1341171
2,Avengers Assemble,(2012),8.0,69,1252368
3,The Hunger Games,(2012),7.2,68,839443
4,The Hobbit: An Unexpected Journey,(2012),7.8,58,751976
5,Silver Linings Playbook,(2012),7.7,81,657079
6,Skyfall,(2012),7.7,81,626452
7,Life of Pi,(2012),7.9,79,576305
8,Argo,(2012),7.7,86,568575
9,Ted,(2012),6.9,62,566810
10,Prometheus,(I) (2012),7.0,64,565659
11,The Amazing Spider-Man,(2012),6.9,66,555142
12,Looper,(2012),7.4,84,531331
13,21 Jump Street,(2012),7.2,69,507337
14,The Perks of Being a Wallflower,(2012),8.0,67,457943
15,Wreck-It Ralph,(2012),7.7,72,376497
16,Brave,(2012),7.1,69,369278
17,Cloud Atlas,(2012),7.4,55,343041
18,Men in Black 3,(2012),6.8,58,333204
19,Flight,(I) (2012),7.3,76,323367
20,Moonrise Kingdom,(2012),7.8,84,316010
21,Les Misérables,(2012),7.6,63,306540
22,Jack Reacher,(2012),7.0,50,305914
23,The Expendables 2,(2012),6.6,51,290664
24,Taken 2,(2012),6.3,45,287959
25,The Bourne Legacy,(2012),6.6,61,283377
26,The Hunt,(2012),8.3,77,276170
27,The Dictator,(2012),6.4,58,275938
28,Pitch Perfect,(2012),7.1,66,274892
29,Snow White and the Huntsman,(2012),6.1,57,271790
30,Zero Dark Thirty,(2012),7.4,95,269718
31,John Carter,(2012),6.6,51,253603
32,Dredd,(2012),7.1,60,249129
33,Dark Shadows,(2012),6.2,55,245991
34,The Place Beyond the Pines,(2012),7.3,68,244331
35,Lincoln,(2012),7.3,86,242962
36,Seven Psychopaths,(2012),7.2,66,239548
37,Total Recall,(I) (2012),6.3,43,239148
38,Chronicle,(2012),7.0,69,238782
39,Battleship,(2012),5.8,41,235214
40,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,229910
41,End of Watch,(2012),7.6,68,226618
42,Lawless,(2012),7.3,58,226606
43,Hotel Transylvania,(2012),7.1,47,222486
44,Sinister,(I) (2012),6.8,53,219993
45,Safe House,(2012),6.7,52,204728
46,American Reunion,(2012),6.7,49,201939
47,The Impossible,(2012),7.6,73,198491
48,Ice Age: Continental Drift,(2012),6.6,49,190131
49,The Dark Knight Rises,(2012),8.4,78,1502088
50,Django Unchained,(2012),8.4,81,1341171
51,Avengers Assemble,(2012),8.0,69,1252368
52,The Hunger Games,(2012),7.2,68,839443
53,The Hobbit: An Unexpected Journey,(2012),7.8,58,751976
54,Silver Linings Playbook,(2012),7.7,81,657079
55,Skyfall,(2012),7.7,81,626452
56,Life of Pi,(2012),7.9,79,576305
57,Argo,(2012),7.7,86,568575
58,Ted,(2012),6.9,62,566810
59,Prometheus,(I) (2012),7.0,64,565659
60,The Amazing Spider-Man,(2012),6.9,66,555142
61,Looper,(2012),7.4,84,531331
62,21 Jump Street,(2012),7.2,69,507337
63,The Perks of Being a Wallflower,(2012),8.0,67,457943
64,Wreck-It Ralph,(2012),7.7,72,376497
65,Brave,(2012),7.1,69,369278
66,Cloud Atlas,(2012),7.4,55,343041
67,Men in Black 3,(2012),6.8,58,333204
68,Flight,(I) (2012),7.3,76,323367
69,Moonrise Kingdom,(2012),7.8,84,316010
70,Les Misérables,(2012),7.6,63,306540
71,Jack Reacher,(2012),7.0,50,305914
72,The Expendables 2,(2012),6.6,51,290664
73,Taken 2,(2012),6.3,45,287959
74,The Bourne Legacy,(2012),6.6,61,283377
75,The Hunt,(2012),8.3,77,276170
76,The Dictator,(2012),6.4,58,275938
77,Pitch Perfect,(2012),7.1,66,274892
78,Snow White and the Huntsman,(2012),6.1,57,271790
79,Zero Dark Thirty,(2012),7.4,95,269718
80,John Carter,(2012),6.6,51,253603
81,Dredd,(2012),7.1,60,249129
82,Dark Shadows,(2012),6.2,55,245991
83,The Place Beyond the Pines,(2012),7.3,68,244331
84,Lincoln,(2012),7.3,86,242962
85,Seven Psychopaths,(2012),7.2,66,239548
86,Total Recall,(I) (2012),6.3,43,239148
87,Chronicle,(2012),7.0,69,238782
88,Battleship,(2012),5.8,41,235214
89,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,229910
90,End of Watch,(2012),7.6,68,226618
91,Lawless,(2012),7.3,58,226606
92,Hotel Transylvania,(2012),7.1,47,222486
93,Sinister,(I) (2012),6.8,53,219993
94,Safe House,(2012),6.7,52,204728
95,American Reunion,(2012),6.7,49,201939
96,The Impossible,(2012),7.6,73,198491
97,Ice Age: Continental Drift,(2012),6.6,49,190131
98,The Dark Knight Rises,(2012),8.4,78,1502088
99,Django Unchained,(2012),8.4,81,1341171
100,Avengers Assemble,(2012),8.0,69,1252368
101,The Hunger Games,(2012),7.2,68,839443
102,The Hobbit: An Unexpected Journey,(2012),7.8,58,751976
103,Silver Linings Playbook,(2012),7.7,81,657079
104,Skyfall,(2012),7.7,81,626452
105,Life of Pi,(2012),7.9,79,576305
106,Argo,(2012),7.7,86,568575
107,Ted,(2012),6.9,62,566810
108,Prometheus,(I) (2012),7.0,64,565659
109,The Amazing Spider-Man,(2012),6.9,66,555142
110,Looper,(2012),7.4,84,531331
111,21 Jump Street,(2012),7.2,69,507337
112,The Perks of Being a Wallflower,(2012),8.0,67,457943
113,Wreck-It Ralph,(2012),7.7,72,376497
114,Brave,(2012),7.1,69,369278
115,Cloud Atlas,(2012),7.4,55,343041
116,Men in Black 3,(2012),6.8,58,333204
117,Flight,(I) (2012),7.3,76,323367
118,Moonrise Kingdom,(2012),7.8,84,316010
119,Les Misérables,(2012),7.6,63,306540
120,Jack Reacher,(2012),7.0,50,305914
121,The Expendables 2,(2012),6.6,51,290664
122,Taken 2,(2012),6.3,45,287959
123,The Bourne Legacy,(2012),6.6,61,283377
124,The Hunt,(2012),8.3,77,276170
125,The Dictator,(2012),6.4,58,275938
126,Pitch Perfect,(2012),7.1,66,274892
127,Snow White and the Huntsman,(2012),6.1,57,271790
128,Zero Dark Thirty,(2012),7.4,95,269718
129,John Carter,(2012),6.6,51,253603
130,Dredd,(2012),7.1,60,249129
131,Dark Shadows,(2012),6.2,55,245991
132,The Place Beyond the Pines,(2012),7.3,68,244331
133,Lincoln,(2012),7.3,86,242962
134,Seven Psychopaths,(2012),7.2,66,239548
135,Total Recall,(I) (2012),6.3,43,239148
136,Chronicle,(2012),7.0,69,238782
137,Battleship,(2012),5.8,41,235214
138,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,229910
139,End of Watch,(2012),7.6,68,226618
