,movie,year,imdb,metascore,votes,n_imdb
0,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85,755671,81.0
1,Untouchable,2011,8.5,57,749716,85.0
2,Thor,2011,7.0,57,740266,70.0
3,Captain America: The First Avenger,2011,6.9,66,733079,69.0
4,X: First Class,2011,7.7,65,642219,77.0
5,Drive,2011,7.8,78,566355,78.0
6,Limitless,2011,7.4,59,523890,74.0
7,Rise of the Planet of the Apes,2011,7.6,68,493742,76.0
8,Source Code,2011,7.5,74,481575,75.0
9,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,477766,66.0
10,"Crazy, Stupid, Love.",2011,7.4,68,468556,74.0
11,The Hangover Part II,2011,6.5,44,460979,65.0
12,Mission: Impossible - Ghost Protocol,2011,7.4,73,454474,74.0
13,Warrior,2011,8.2,71,432721,82.0
14,The Help,2011,8.0,62,424654,80.0
15,Horrible Bosses,2011,6.9,57,419618,69.0
16,Sherlock Holmes: A Game of Shadows,2011,7.5,48,418178,75.0
17,The Girl with the Dragon Tattoo,2011,7.8,71,417667,78.0
18,Midnight in Paris,2011,7.7,81,385083,77.0
19,Transformers: Dark of the Moon,2011,6.2,42,382742,62.0
20,The Cabin in the Woods,2011,7.0,72,374195,70.0
21,In Time,2011,6.7,53,367687,67.0
22,Moneyball,2011,7.6,87,364928,76.0
23,Fast & Furious 5,2011,7.3,66,350360,73.0
24,Friends with Benefits,2011,6.5,63,337895,65.0
25,Super 8,2011,7.0,72,337074,70.0
26,50/50,2011,7.6,72,314131,76.0
27,Hugo,2011,7.5,83,302919,75.0
28,Real Steel,2011,7.1,56,296679,71.0
29,Contagion,2011,6.7,70,278975,67.0
30,Bridesmaids,2011,6.8,75,266212,68.0
31,Green Lantern,2011,5.5,39,265406,55.0
32,Kung Fu Panda 2,2011,7.2,67,251272,72.0
33,Unknown,2011,6.8,56,246654,68.0
34,The Adjustment Bureau,2011,7.0,60,242780,70.0
35,The Grey,2011,6.8,64,239373,68.0
36,Rango,2011,7.2,75,234450,72.0
37,Paul,2011,7.0,57,233765,70.0
38,The Descendants,2011,7.3,84,231697,73.0
39,The Artist,2011,7.9,89,229370,79.0
40,Sucker Punch,2011,6.0,33,228985,60.0
41,I Am Number Four,2011,6.1,36,226565,61.0
42,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,222524,49.0
43,Just Go with It,2011,6.4,33,219836,64.0
44,A Separation,2011,8.3,95,217690,83.0
45,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85,755671,81.0
46,Untouchable,2011,8.5,57,749716,85.0
47,Thor,2011,7.0,57,740266,70.0
48,Captain America: The First Avenger,2011,6.9,66,733079,69.0
49,X: First Class,2011,7.7,65,642219,77.0
50,Drive,2011,7.8,78,566355,78.0
51,Limitless,2011,7.4,59,523890,74.0
52,Rise of the Planet of the Apes,2011,7.6,68,493742,76.0
53,Source Code,2011,7.5,74,481575,75.0
54,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,477766,66.0
55,"Crazy, Stupid, Love.",2011,7.4,68,468556,74.0
56,The Hangover Part II,2011,6.5,44,460979,65.0
57,Mission: Impossible - Ghost Protocol,2011,7.4,73,454474,74.0
58,Warrior,2011,8.2,71,432721,82.0
59,The Help,2011,8.0,62,424654,80.0
60,Horrible Bosses,2011,6.9,57,419618,69.0
61,Sherlock Holmes: A Game of Shadows,2011,7.5,48,418178,75.0
62,The Girl with the Dragon Tattoo,2011,7.8,71,417667,78.0
63,Midnight in Paris,2011,7.7,81,385083,77.0
64,Transformers: Dark of the Moon,2011,6.2,42,382742,62.0
65,The Cabin in the Woods,2011,7.0,72,374195,70.0
66,In Time,2011,6.7,53,367687,67.0
